Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C","C_0504_1310Metric",158.460000,-104.000000,0.000000,top
"C2","C","C_0402_1005Metric",168.020000,-107.000000,0.000000,top
"C3","C","C_0504_1310Metric_Pad0.83x1.28mm_HandSolder",175.872500,-92.000000,0.000000,top
"C4","C","C_0805_2012Metric",130.550000,-75.500000,0.000000,top
"C5","C","C_0805_2012Metric",143.550000,-112.000000,0.000000,top
"C6","C","C_0603_1608Metric",158.225000,-95.500000,0.000000,top
"D1","D","D_0603_1608Metric",169.712500,-89.000000,0.000000,top
"D2","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",165.975000,-95.000000,0.000000,top
"L1","L","L_12x12mm_H8mm",120.500000,-78.500000,0.000000,top
"R1","R","R_0603_1608Metric",152.675000,-103.500000,0.000000,top
"U1","BQ25895RTW","Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias",131.537500,-115.750000,0.000000,top
"U2","NCP115AMX250TCG","OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm",154.015000,-117.825000,0.000000,top
